Customer_ID,First_Purchase_Date,Last_Purchase_Date,Tenure_Months,Total_Orders,Avg_Order_Value,Total_Spend,Reward_Points,Purchase_Frequency,Avg_Discount_Used,Churn_Probability,Category_Loyalty,Preferred_Channel,City,State,Latitude,Longitude
C025,2022-08-22 02:56:56.788485,2022-10-07 02:56:56.788485,2,57,1484.57,84620.49,4231,28.5,0.2,0.74,Food,Online,Ahmedabad,Gujarat,23.0225,72.5714
C026,2023-11-03 02:56:56.788485,2024-05-04 02:56:56.788485,6,29,654.32,18975.28,948,4.83,0.12,0.06,Electronics,Retail,Pune,Maharashtra,18.5204,73.8567
C027,2023-11-05 02:56:56.788485,2024-10-27 02:56:56.788485,12,78,1382.27,107817.06,5390,6.5,0.19,0.54,Food,Online,Kolkata,West Bengal,22.5726,88.3639
C028,2023-11-01 02:56:56.788485,2024-04-27 02:56:56.788485,6,25,556.77,13919.25,695,4.17,0.24,0.26,Furniture,Retail,Jaipur,Rajasthan,26.9124,75.7873
C029,2023-06-28 02:56:56.788485,2024-04-19 02:56:56.788485,10,15,459.21,6888.15,344,1.5,0.2,0.59,Food,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C030,2023-04-30 02:56:56.788485,2024-04-21 02:56:56.788485,12,6,1999.04,11994.24,599,0.5,0.21,0.27,Electronics,Online,Mumbai,Maharashtra,19.076,72.8777
C031,2022-11-24 02:56:56.788485,2023-04-08 02:56:56.788485,4,42,1320.28,55451.76,2772,10.5,0.19,0.98,Clothing,Online,Delhi,Delhi,28.6139,77.209
C032,2021-06-27 02:56:56.788485,2021-08-30 02:56:56.788485,2,29,975.78,28297.62,1414,14.5,0.05,0.31,Clothing,Online,Bengaluru,Karnataka,12.9716,77.5946
C033,2023-06-21 02:56:56.788485,2023-11-16 02:56:56.788485,5,79,718.7,56777.3,2838,15.8,0.21,0.25,Furniture,Retail,Hyderabad,Telangana,17.385,78.4867
C034,2022-12-11 02:56:56.788485,2023-01-23 02:56:56.788485,1,93,1287.06,119696.58,5984,93.0,0.06,0.28,Furniture,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C035,2021-08-12 02:56:56.788485,2021-09-24 02:56:56.788485,1,4,289.27,1157.08,57,4.0,0.22,0.89,Clothing,Online,Ahmedabad,Gujarat,23.0225,72.5714
C036,2022-11-25 02:56:56.788485,2023-09-16 02:56:56.788485,10,82,370.43,30375.26,1518,8.2,0.12,0.63,Food,Retail,Pune,Maharashtra,18.5204,73.8567
C037,2024-06-26 02:56:56.788485,2024-12-12 02:56:56.788485,6,57,259.14,14770.98,738,9.5,0.17,0.73,Furniture,Online,Kolkata,West Bengal,22.5726,88.3639
C038,2021-06-16 02:56:56.788485,2022-05-05 02:56:56.788485,11,49,1098.51,53826.99,2691,4.45,0.13,0.91,Electronics,Online,Jaipur,Rajasthan,26.9124,75.7873
C039,2022-11-16 02:56:56.788485,2023-04-13 02:56:56.788485,5,44,1281.09,56367.96,2818,8.8,0.03,0.9,Furniture,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C040,2020-10-03 02:56:56.788485,2021-06-27 02:56:56.788485,9,80,312.46,24996.8,1249,8.89,0.08,0.73,Food,Retail,Mumbai,Maharashtra,19.076,72.8777
C041,2024-06-12 02:56:56.788485,2024-08-14 02:56:56.788485,2,75,1498.2,112365.0,5618,37.5,0.25,0.2,Furniture,Retail,Delhi,Delhi,28.6139,77.209
C042,2021-02-08 02:56:56.788485,2021-08-25 02:56:56.788485,7,14,614.71,8605.94,430,2.0,0.24,0.84,Electronics,Online,Bengaluru,Karnataka,12.9716,77.5946
C043,2022-03-06 02:56:56.788485,2022-04-14 02:56:56.788485,1,3,1433.36,4300.08,215,3.0,0.09,0.21,Electronics,Online,Hyderabad,Telangana,17.385,78.4867
C044,2024-02-11 02:56:56.788485,2024-07-11 02:56:56.788485,5,62,1967.41,121979.42,6098,12.4,0.25,0.74,Electronics,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C045,2020-07-29 02:56:56.788485,2021-01-19 02:56:56.788485,6,64,1443.99,92415.36,4620,10.67,0.21,0.68,Food,Online,Ahmedabad,Gujarat,23.0225,72.5714
C046,2022-01-22 02:56:56.788485,2022-10-01 02:56:56.788485,8,45,1789.75,80538.75,4026,5.62,0.16,0.75,Food,Retail,Pune,Maharashtra,18.5204,73.8567
C047,2021-01-22 02:56:56.788485,2021-11-04 02:56:56.788485,10,82,1906.76,156354.32,7817,8.2,0.02,0.53,Electronics,Online,Kolkata,West Bengal,22.5726,88.3639
C048,2023-06-06 02:56:56.788485,2024-03-29 02:56:56.788485,10,58,1076.15,62416.7,3120,5.8,0.23,0.64,Electronics,Retail,Jaipur,Rajasthan,26.9124,75.7873
C049,2022-03-24 02:56:56.788485,2022-04-26 02:56:56.788485,1,20,1464.18,29283.6,1464,20.0,0.14,0.94,Food,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C050,2021-04-17 02:56:56.788485,2021-08-30 02:56:56.788485,4,58,1733.54,100545.32,5027,14.5,0.22,0.11,Food,Retail,Mumbai,Maharashtra,19.076,72.8777
C051,2022-06-29 02:56:56.788485,2022-10-21 02:56:56.788485,4,89,841.9,74929.1,3746,22.25,0.21,0.31,Food,Online,Delhi,Delhi,28.6139,77.209
C052,2021-05-31 02:56:56.788485,2022-01-29 02:56:56.788485,8,57,670.52,38219.64,1910,7.12,0.21,0.61,Clothing,Retail,Bengaluru,Karnataka,12.9716,77.5946
C053,2023-10-18 02:56:56.788485,2024-03-16 02:56:56.788485,5,77,1903.88,146598.76,7329,15.4,0.18,0.95,Food,Retail,Hyderabad,Telangana,17.385,78.4867
C054,2022-06-06 02:56:56.788485,2022-11-14 02:56:56.788485,5,68,1507.35,102499.8,5124,13.6,0.08,0.1,Electronics,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C055,2024-01-25 02:56:56.788485,2024-09-07 02:56:56.788485,8,78,595.43,46443.54,2322,9.75,0.09,0.03,Clothing,Retail,Ahmedabad,Gujarat,23.0225,72.5714
C056,2023-10-15 02:56:56.788485,2023-12-02 02:56:56.788485,2,97,1008.35,97809.95,4890,48.5,0.08,0.06,Food,Online,Pune,Maharashtra,18.5204,73.8567
C057,2023-10-30 02:56:56.788485,2024-04-06 02:56:56.788485,5,92,1633.61,150292.12,7514,18.4,0.01,0.06,Electronics,Retail,Kolkata,West Bengal,22.5726,88.3639
C058,2021-05-13 02:56:56.788485,2021-06-23 02:56:56.788485,1,52,1184.71,61604.92,3080,52.0,0.15,0.9,Furniture,Retail,Jaipur,Rajasthan,26.9124,75.7873
C059,2023-05-20 02:56:56.788485,2023-09-07 02:56:56.788485,4,37,1369.91,50686.67,2534,9.25,0.18,0.72,Clothing,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C060,2020-07-31 02:56:56.788485,2021-07-25 02:56:56.788485,12,8,1556.78,12454.24,622,0.67,0.21,0.67,Electronics,Retail,Mumbai,Maharashtra,19.076,72.8777
C061,2021-03-23 02:56:56.788485,2022-01-08 02:56:56.788485,10,44,1319.62,58063.28,2903,4.4,0.04,0.52,Furniture,Online,Delhi,Delhi,28.6139,77.209
C062,2023-07-17 02:56:56.788485,2023-12-18 02:56:56.788485,5,98,1172.14,114869.72,5743,19.6,0.14,0.78,Electronics,Retail,Bengaluru,Karnataka,12.9716,77.5946
C063,2023-07-03 02:56:56.788485,2024-06-03 02:56:56.788485,11,5,1549.31,7746.55,387,0.45,0.01,0.16,Food,Retail,Hyderabad,Telangana,17.385,78.4867
C064,2022-12-13 02:56:56.788485,2023-10-05 02:56:56.788485,10,69,1509.61,104163.09,5208,6.9,0.03,0.39,Food,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C065,2022-02-05 02:56:56.788485,2022-07-24 02:56:56.788485,6,31,1333.77,41346.87,2067,5.17,0.02,0.49,Furniture,Retail,Ahmedabad,Gujarat,23.0225,72.5714
C066,2022-07-24 02:56:56.788485,2023-07-17 02:56:56.788485,12,45,847.62,38142.9,1907,3.75,0.18,0.12,Food,Retail,Pune,Maharashtra,18.5204,73.8567
C067,2021-03-13 02:56:56.788485,2021-04-13 02:56:56.788485,1,9,930.46,8374.14,418,9.0,0.03,0.42,Electronics,Retail,Kolkata,West Bengal,22.5726,88.3639
C068,2022-02-15 02:56:56.788485,2022-03-24 02:56:56.788485,1,32,1946.79,62297.28,3114,32.0,0.18,0.32,Furniture,Online,Jaipur,Rajasthan,26.9124,75.7873
C069,2021-06-19 02:56:56.788485,2022-03-25 02:56:56.788485,9,33,402.29,13275.57,663,3.67,0.07,0.04,Electronics,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C070,2022-11-18 02:56:56.788485,2023-05-05 02:56:56.788485,6,67,683.31,45781.77,2289,11.17,0.22,0.14,Electronics,Retail,Mumbai,Maharashtra,19.076,72.8777
C071,2024-06-23 02:56:56.788485,2024-11-23 02:56:56.788485,5,30,1086.32,32589.6,1629,6.0,0.21,0.76,Electronics,Retail,Delhi,Delhi,28.6139,77.209
C072,2021-04-06 02:56:56.788485,2022-03-10 02:56:56.788485,11,76,1706.11,129664.36,6483,6.91,0.24,0.03,Food,Online,Bengaluru,Karnataka,12.9716,77.5946
C073,2023-06-28 02:56:56.788485,2024-03-11 02:56:56.788485,9,29,494.62,14343.98,717,3.22,0.22,0.93,Food,Online,Hyderabad,Telangana,17.385,78.4867
C074,2024-03-03 02:56:56.788485,2024-04-11 02:56:56.788485,1,3,698.52,2095.56,104,3.0,0.23,0.09,Electronics,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C075,2020-07-26 02:56:56.788485,2021-03-24 02:56:56.788485,8,90,318.44,28659.6,1432,11.25,0.22,0.79,Clothing,Retail,Ahmedabad,Gujarat,23.0225,72.5714
C076,2021-08-31 02:56:56.788485,2022-01-19 02:56:56.788485,5,57,1470.77,83833.89,4191,11.4,0.18,0.89,Electronics,Retail,Pune,Maharashtra,18.5204,73.8567
C077,2023-02-28 02:56:56.788485,2023-04-06 02:56:56.788485,1,30,628.78,18863.4,943,30.0,0.05,0.93,Electronics,Retail,Kolkata,West Bengal,22.5726,88.3639
C078,2021-03-24 02:56:56.788485,2022-02-08 02:56:56.788485,11,9,899.61,8096.49,404,0.82,0.08,0.86,Furniture,Retail,Jaipur,Rajasthan,26.9124,75.7873
C079,2021-07-02 02:56:56.788485,2022-04-10 02:56:56.788485,9,26,998.66,25965.16,1298,2.89,0.06,0.29,Electronics,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C080,2024-02-22 02:56:56.788485,2024-04-05 02:56:56.788485,1,2,1804.37,3608.74,180,2.0,0.15,0.34,Food,Online,Mumbai,Maharashtra,19.076,72.8777
C081,2020-08-09 02:56:56.788485,2021-05-05 02:56:56.788485,9,62,940.39,58304.18,2915,6.89,0.13,0.43,Furniture,Retail,Delhi,Delhi,28.6139,77.209
C082,2023-12-04 02:56:56.788485,2024-08-31 02:56:56.788485,9,3,461.41,1384.23,69,0.33,0.22,0.15,Clothing,Retail,Bengaluru,Karnataka,12.9716,77.5946
C083,2023-12-08 02:56:56.788485,2024-06-03 02:56:56.788485,6,46,1143.77,52613.42,2630,7.67,0.24,0.03,Furniture,Online,Hyderabad,Telangana,17.385,78.4867
C084,2024-01-18 02:56:56.788485,2024-10-09 02:56:56.788485,9,68,1933.32,131465.76,6573,7.56,0.11,0.86,Clothing,Online,Chennai,Tamil Nadu,13.0827,80.2707
C085,2023-05-09 02:56:56.788485,2024-04-08 02:56:56.788485,11,25,1293.83,32345.75,1617,2.27,0.13,0.55,Furniture,Online,Ahmedabad,Gujarat,23.0225,72.5714
C086,2023-10-24 02:56:56.788485,2024-05-07 02:56:56.788485,7,51,1970.1,100475.1,5023,7.29,0.24,0.61,Furniture,Online,Pune,Maharashtra,18.5204,73.8567
C087,2021-12-04 02:56:56.788485,2022-01-22 02:56:56.788485,2,13,1713.99,22281.87,1114,6.5,0.08,0.92,Clothing,Retail,Kolkata,West Bengal,22.5726,88.3639
C088,2023-05-13 02:56:56.788485,2024-01-13 02:56:56.788485,8,44,264.74,11648.56,582,5.5,0.2,0.66,Food,Online,Jaipur,Rajasthan,26.9124,75.7873
C089,2023-05-26 02:56:56.788485,2023-11-06 02:56:56.788485,5,35,1385.12,48479.2,2423,7.0,0.06,0.69,Food,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C090,2022-07-19 02:56:56.788485,2022-12-24 02:56:56.788485,5,55,716.18,39389.9,1969,11.0,0.17,0.78,Food,Retail,Mumbai,Maharashtra,19.076,72.8777
C091,2023-12-31 02:56:56.788485,2024-11-18 02:56:56.788485,11,87,1207.31,105035.97,5251,7.91,0.07,0.12,Furniture,Online,Delhi,Delhi,28.6139,77.209
C092,2021-08-03 02:56:56.788485,2022-05-05 02:56:56.788485,9,9,702.82,6325.38,316,1.0,0.22,0.36,Electronics,Online,Bengaluru,Karnataka,12.9716,77.5946
C093,2023-03-23 02:56:56.788485,2023-10-27 02:56:56.788485,7,2,827.97,1655.94,82,0.29,0.14,0.96,Furniture,Retail,Hyderabad,Telangana,17.385,78.4867
C094,2020-10-30 02:56:56.788485,2021-01-11 02:56:56.788485,2,61,1861.7,113563.7,5678,30.5,0.05,0.91,Electronics,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C095,2021-01-17 02:56:56.788485,2021-05-12 02:56:56.788485,4,41,571.96,23450.36,1172,10.25,0.06,0.88,Electronics,Retail,Ahmedabad,Gujarat,23.0225,72.5714
C096,2022-02-06 02:56:56.788485,2022-04-20 02:56:56.788485,2,44,1773.4,78029.6,3901,22.0,0.13,0.45,Food,Retail,Pune,Maharashtra,18.5204,73.8567
C097,2022-01-02 02:56:56.788485,2022-12-27 02:56:56.788485,12,64,254.82,16308.48,815,5.33,0.24,0.85,Electronics,Retail,Kolkata,West Bengal,22.5726,88.3639
C098,2024-03-14 02:56:56.788485,2024-09-04 02:56:56.788485,6,31,363.58,11270.98,563,5.17,0.19,0.06,Furniture,Retail,Jaipur,Rajasthan,26.9124,75.7873
C099,2020-09-03 02:56:56.788485,2020-11-22 02:56:56.788485,3,47,1738.42,81705.74,4085,15.67,0.13,0.16,Furniture,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C100,2020-10-21 02:56:56.788485,2021-07-19 02:56:56.788485,9,2,1335.0,2670.0,133,0.22,0.09,0.42,Food,Online,Mumbai,Maharashtra,19.076,72.8777
C101,2022-05-29 02:56:56.788485,2023-04-17 02:56:56.788485,11,96,1545.03,148322.88,7416,8.73,0.14,0.48,Clothing,Online,Delhi,Delhi,28.6139,77.209
C102,2023-08-02 02:56:56.788485,2023-10-21 02:56:56.788485,3,82,576.95,47309.9,2365,27.33,0.19,0.27,Furniture,Retail,Bengaluru,Karnataka,12.9716,77.5946
C103,2024-06-16 02:56:56.788485,2025-04-07 02:56:56.788485,10,77,1166.75,89839.75,4491,7.7,0.2,0.36,Electronics,Online,Hyderabad,Telangana,17.385,78.4867
C104,2021-11-13 02:56:56.788485,2022-04-11 02:56:56.788485,5,69,1526.99,105362.31,5268,13.8,0.09,0.17,Furniture,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C105,2024-06-10 02:56:56.788485,2025-01-25 02:56:56.788485,8,58,1329.17,77091.86,3854,7.25,0.18,0.49,Furniture,Online,Ahmedabad,Gujarat,23.0225,72.5714
C106,2020-08-25 02:56:56.788485,2021-05-29 02:56:56.788485,9,44,1049.06,46158.64,2307,4.89,0.17,0.79,Furniture,Retail,Pune,Maharashtra,18.5204,73.8567
C107,2022-10-31 02:56:56.788485,2023-02-07 02:56:56.788485,3,74,1927.61,142643.14,7132,24.67,0.24,0.66,Clothing,Online,Kolkata,West Bengal,22.5726,88.3639
C108,2020-12-05 02:56:56.788485,2021-03-01 02:56:56.788485,3,56,1417.08,79356.48,3967,18.67,0.23,0.12,Electronics,Retail,Jaipur,Rajasthan,26.9124,75.7873
C109,2022-12-04 02:56:56.788485,2023-02-10 02:56:56.788485,2,43,1833.95,78859.85,3942,21.5,0.2,0.49,Food,Online,Lucknow,Uttar Pradesh,26.8467,80.9462
C110,2020-10-11 02:56:56.788485,2021-08-25 02:56:56.788485,11,89,1513.59,134709.51,6735,8.09,0.18,0.69,Furniture,Retail,Mumbai,Maharashtra,19.076,72.8777
C111,2021-05-01 02:56:56.788485,2021-06-17 02:56:56.788485,2,34,1523.83,51810.22,2590,17.0,0.08,0.53,Electronics,Online,Delhi,Delhi,28.6139,77.209
C112,2021-07-20 02:56:56.788485,2022-03-26 02:56:56.788485,8,30,344.03,10320.9,516,3.75,0.21,0.39,Electronics,Online,Bengaluru,Karnataka,12.9716,77.5946
C113,2022-01-23 02:56:56.788485,2022-12-31 02:56:56.788485,11,71,847.04,60139.84,3006,6.45,0.11,0.62,Food,Retail,Hyderabad,Telangana,17.385,78.4867
C114,2023-02-11 02:56:56.788485,2023-11-11 02:56:56.788485,9,70,1745.06,122154.2,6107,7.78,0.08,0.96,Furniture,Online,Chennai,Tamil Nadu,13.0827,80.2707
C115,2024-03-15 02:56:56.788485,2025-02-11 02:56:56.788485,11,55,618.69,34027.95,1701,5.0,0.1,0.1,Clothing,Online,Ahmedabad,Gujarat,23.0225,72.5714
C116,2023-08-10 02:56:56.788485,2024-07-02 02:56:56.788485,11,67,407.91,27329.97,1366,6.09,0.21,0.39,Electronics,Online,Pune,Maharashtra,18.5204,73.8567
C117,2024-01-22 02:56:56.788485,2024-11-29 02:56:56.788485,10,13,786.99,10230.87,511,1.3,0.05,0.41,Food,Online,Kolkata,West Bengal,22.5726,88.3639
C118,2022-11-26 02:56:56.788485,2023-03-09 02:56:56.788485,3,3,596.79,1790.37,89,1.0,0.12,0.58,Clothing,Online,Jaipur,Rajasthan,26.9124,75.7873
C119,2023-04-21 02:56:56.788485,2023-09-07 02:56:56.788485,5,26,1865.52,48503.52,2425,5.2,0.13,0.16,Electronics,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C120,2023-01-05 02:56:56.788485,2023-08-02 02:56:56.788485,7,57,1762.34,100453.38,5022,8.14,0.02,0.18,Furniture,Retail,Mumbai,Maharashtra,19.076,72.8777
C121,2021-05-12 02:56:56.788485,2021-07-12 02:56:56.788485,2,24,1099.43,26386.32,1319,12.0,0.06,0.29,Electronics,Online,Delhi,Delhi,28.6139,77.209
C122,2021-09-09 02:56:56.788485,2022-05-30 02:56:56.788485,9,53,310.42,16452.26,822,5.89,0.21,0.95,Clothing,Retail,Bengaluru,Karnataka,12.9716,77.5946
C123,2020-10-27 02:56:56.788485,2021-09-03 02:56:56.788485,10,70,1486.21,104034.7,5201,7.0,0.21,0.73,Clothing,Online,Hyderabad,Telangana,17.385,78.4867
C124,2021-03-14 02:56:56.788485,2021-05-07 02:56:56.788485,2,43,1322.14,56852.02,2842,21.5,0.08,0.66,Furniture,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C125,2024-07-06 02:56:56.788485,2025-07-01 02:56:56.788485,12,60,1947.0,116820.0,5841,5.0,0.22,0.81,Furniture,Online,Ahmedabad,Gujarat,23.0225,72.5714
C126,2023-08-16 02:56:56.788485,2024-06-19 02:56:56.788485,10,58,1206.12,69954.96,3497,5.8,0.2,0.14,Food,Online,Pune,Maharashtra,18.5204,73.8567
C127,2020-10-27 02:56:56.788485,2021-07-09 02:56:56.788485,8,49,805.51,39469.99,1973,6.12,0.11,0.85,Furniture,Online,Kolkata,West Bengal,22.5726,88.3639
C128,2021-10-02 02:56:56.788485,2021-12-27 02:56:56.788485,3,42,1134.24,47638.08,2381,14.0,0.19,0.59,Food,Online,Jaipur,Rajasthan,26.9124,75.7873
C129,2023-08-23 02:56:56.788485,2024-03-19 02:56:56.788485,7,76,1962.67,149162.92,7458,10.86,0.24,0.34,Clothing,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C130,2024-06-30 02:56:56.788485,2025-03-18 02:56:56.788485,9,66,1453.45,95927.7,4796,7.33,0.12,0.81,Clothing,Retail,Mumbai,Maharashtra,19.076,72.8777
C131,2022-03-29 02:56:56.788485,2023-02-08 02:56:56.788485,11,11,1409.56,15505.16,775,1.0,0.07,0.8,Electronics,Retail,Delhi,Delhi,28.6139,77.209
C132,2023-12-02 02:56:56.788485,2024-03-04 02:56:56.788485,3,98,633.23,62056.54,3102,32.67,0.24,0.84,Electronics,Online,Bengaluru,Karnataka,12.9716,77.5946
C133,2020-07-27 02:56:56.788485,2021-04-14 02:56:56.788485,9,90,1538.48,138463.2,6923,10.0,0.15,0.12,Food,Retail,Hyderabad,Telangana,17.385,78.4867
C134,2020-08-13 02:56:56.788485,2021-06-27 02:56:56.788485,11,18,1550.49,27908.82,1395,1.64,0.04,0.96,Furniture,Retail,Chennai,Tamil Nadu,13.0827,80.2707
C135,2024-03-24 02:56:56.788485,2024-11-21 02:56:56.788485,8,85,771.12,65545.2,3277,10.62,0.15,0.95,Furniture,Online,Ahmedabad,Gujarat,23.0225,72.5714
C136,2020-07-24 02:56:56.788485,2021-05-07 02:56:56.788485,10,52,1070.68,55675.36,2783,5.2,0.13,0.36,Electronics,Online,Pune,Maharashtra,18.5204,73.8567
C137,2024-07-14 02:56:56.788485,2024-08-30 02:56:56.788485,2,46,730.29,33593.34,1679,23.0,0.22,0.07,Clothing,Online,Kolkata,West Bengal,22.5726,88.3639
C138,2023-10-23 02:56:56.788485,2024-05-14 02:56:56.788485,7,44,665.67,29289.48,1464,6.29,0.14,0.17,Food,Retail,Jaipur,Rajasthan,26.9124,75.7873
C139,2021-03-01 02:56:56.788485,2021-11-14 02:56:56.788485,9,22,246.61,5425.42,271,2.44,0.07,0.98,Clothing,Retail,Lucknow,Uttar Pradesh,26.8467,80.9462
C140,2021-12-06 02:56:56.788485,2022-08-18 02:56:56.788485,8,53,713.38,37809.14,1890,6.62,0.17,0.56,Clothing,Online,Mumbai,Maharashtra,19.076,72.8777
C141,2020-09-21 02:56:56.788485,2021-01-12 02:56:56.788485,4,59,1197.15,70631.85,3531,14.75,0.14,0.36,Furniture,Retail,Delhi,Delhi,28.6139,77.209
C142,2023-09-13 02:56:56.788485,2024-07-29 02:56:56.788485,11,94,202.88,19070.72,953,8.55,0.07,0.29,Food,Online,Bengaluru,Karnataka,12.9716,77.5946
C143,2024-07-03 02:56:56.788485,2025-04-04 02:56:56.788485,9,30,709.79,21293.7,1064,3.33,0.15,0.26,Clothing,Retail,Hyderabad,Telangana,17.385,78.4867
C144,2020-10-15 02:56:56.788485,2021-03-03 02:56:56.788485,5,8,1786.54,14292.32,714,1.6,0.21,0.66,Electronics,Online,Chennai,Tamil Nadu,13.0827,80.2707
C145,2020-09-22 02:56:56.788485,2021-07-02 02:56:56.788485,9,98,1268.57,124319.86,6215,10.89,0.02,0.42,Electronics,Retail,Ahmedabad,Gujarat,23.0225,72.5714
